,25MAR22,28JAN22,24JUN22,30DEC22,04FEB22,19JAN22,30SEP22,25FEB22,18JAN22,21JAN22
15000,27569.58,,27931.06,,,,,,,
16000,26586.81,,,,,,,,,
18000,24644.51,,,,,,,,,
20000,22689.45,,23334.22,24921.42,,,24234.1,,,
22000,20765.01,,,,,,,,,
25000,17916.86,17411.78,19038.91,,17458.46,,20420.37,17611.83,,17386.11
30000,13394.02,12448.39,15230.42,18405.69,12515.2,,17076.21,12813.75,,12390.92
34000,,,,,8635.16,8383.8,,,8378.36,8406.4
35000,9400.18,7531.66,11973.29,,,,,8345.77,,7413.88
36000,,,,,6769.97,6387.91,,7541.7,6379.26,6423.42
37000,,,,,,5397.24,,,5379.78,
38000,,4735.32,,,5046.52,4418.46,,6055.53,4381.02,4452.34
39000,,3880.37,,,,3417.57,,,3383.43,3500.39
40000,6198.96,3091.13,9302.67,13483.14,3537.77,2445.45,11800.0,4750.46,2401.54,2591.68
41000,,2388.02,,,,1532.39,,,1433.93,1771.34
42000,,1791.89,,,2325.63,783.41,,3648.43,575.55,1104.66
43000,,1302.95,,,,315.11,,,115.25,620.85
44000,,928.1,,,1444.53,108.43,,2747.46,30.21,324.76
45000,3886.83,654.1,,,,51.77,,2369.43,4.56,166.02
46000,,449.94,,,860.38,16.35,,2031.35,1.23,82.92
47000,,,,,,5.43,,,0.09,38.9
48000,,215.1,,,499.09,1.34,,1488.2,0.01,30.33
50000,2376.89,113.01,5518.6,10131.72,285.89,0.04,8148.83,1083.58,0.0,11.04
52000,,70.01,,,168.95,,,,,4.18
54000,,30.67,,,,,,,,0.77
55000,1456.85,30.54,,,83.21,,,506.25,,0.5
56000,,30.53,,,,,,,,0.45
58000,,20.08,,,,,,,,0.25
60000,912.33,17.56,3295.35,7698.65,30.57,,5723.94,253.97,,0.05
65000,592.41,5.25,,,9.65,,,138.38,,0.02
70000,411.72,2.08,2041.69,5982.01,6.7,,4096.26,83.27,,0.0
75000,,1.17,,,,,,52.41,,0.0
80000,220.45,0.29,1332.91,4666.01,,,3021.08,38.49,,0.0
90000,137.59,0.01,914.91,3745.82,,,2303.32,17.53,,
100000,82.99,0.0,655.63,3026.95,,,1757.63,11.97,,
110000,,0.0,,,,,,13.67,,
120000,40.69,0.0,388.93,,,,1123.56,8.68,,
140000,,0.0,,,,,,6.86,,
150000,32.73,,200.92,1286.83,,,640.99,,,
200000,16.49,,91.63,697.1,,,318.35,,,
250000,10.22,,60.81,421.95,,,199.47,,,
300000,5.82,,38.11,282.76,,,133.64,,,
350000,,,,,,,91.39,,,
400000,1.1,,,,,,78.8,,,
