,25MAR22,28JAN22,24JUN22,30DEC22,04FEB22,19JAN22,30SEP22,25FEB22,18JAN22,21JAN22
15000,32.81,,137.49,,,,,,,
16000,38.41,,,,,,,,,
18000,73.01,,,,,,,,,
20000,94.8,,397.23,1197.41,,,850.63,,,
22000,147.15,,,,,,,,,
25000,264.34,3.05,958.39,,19.44,,1781.82,82.63,,0.0
30000,683.62,30.54,2006.45,4001.25,61.0,,3182.58,251.34,,0.21
34000,,,,,168.82,0.1,,,0.0,12.02
35000,1631.91,104.69,3605.92,,,,,750.26,,18.7
36000,,,,,297.56,3.0,,939.55,0.0,27.2
37000,,,,,,11.72,,,0.07,
38000,,302.75,,,568.04,32.34,,1440.1,0.87,54.29
39000,,446.01,,,,30.85,,,2.83,101.41
40000,3372.81,654.91,5791.78,8398.26,1053.22,58.11,7396.2,2121.75,20.49,191.81
41000,,950.11,,,,144.45,,,52.43,370.53
42000,,1352.02,,,1835.01,394.87,,3006.44,193.6,702.93
43000,,1861.39,,,,925.96,,,732.86,1218.2
44000,,2484.61,,,2947.84,1718.67,,4092.19,1647.37,1921.2
45000,6002.8,3208.74,,,,2661.42,,4707.47,2621.27,2761.66
46000,,4002.75,,,4357.62,3625.39,,5362.81,3617.49,3677.51
47000,,,,,,4613.86,,,4615.91,4632.58
48000,,5764.28,,,5990.26,5609.17,,6806.38,5615.37,5623.25
50000,9434.99,7658.52,11720.69,14366.31,7770.99,7606.66,13234.87,8388.34,7614.48,7602.12
52000,,9612.03,,,9647.98,,,,,9593.44
54000,,11569.05,,,,,,,,11588.02
55000,13457.06,12567.1,,,12553.13,,,12777.93,,12586.82
56000,,13565.08,,,,,,,,13585.85
58000,,15550.97,,,,,,,,15583.82
60000,17854.67,17544.8,19210.64,21252.9,17485.31,,20299.82,17492.47,,17581.78
65000,22476.86,22523.57,,,22449.22,,,22343.69,,22577.15
70000,27238.31,27511.28,27669.88,28855.83,27431.09,,28161.97,27255.38,,27572.54
75000,,32501.01,,,,,,32191.08,,32567.95
80000,36931.28,37490.99,36674.16,36859.4,,,36576.63,37144.21,,37563.62
90000,46732.67,47472.44,45969.19,45258.54,,,45348.7,47056.56,,
100000,56562.32,57454.16,55423.25,53859.47,,,54292.85,56984.9,,
110000,,67436.25,,,,,,66919.85,,
120000,76288.51,77418.01,74582.35,,,,72638.46,76848.83,,
140000,,97381.54,,,,,,96714.23,,
150000,105933.29,,103533.47,98717.18,,,100625.83,,,
200000,155338.29,,151989.41,144725.27,,,147751.93,,,
250000,204753.24,,200523.82,191047.96,,,195082.23,,,
300000,254170.08,,249066.36,237506.59,,,242465.58,,,
350000,,,,,,,289872.51,,,
400000,353007.83,,,,,,337309.1,,,
