,25MAR22,28JAN22,24JUN22,30DEC22,04FEB22,19JAN22,30SEP22,25FEB22,18JAN22,21JAN22
1000,2249.0,,2275.43,,,,,,,
1200,2053.82,,,,,,,,,
1400,1859.94,,,,,,,,,
1500,1764.39,,1825.98,,1739.01,,1908.45,1744.93,,1737.53
1600,1668.76,,,,,,,,,
2000,1298.48,1239.69,1422.77,1649.52,1242.55,,1554.4,1258.23,,1238.21
2300,,,,,,,,976.93,,
2400,,,,,851.67,,,886.64,,839.71
2500,879.44,746.96,1085.27,,755.97,,,799.29,,740.67
2600,,649.78,,,662.26,,,714.98,,641.88
2700,,554.72,,,,538.24,,634.86,537.47,
2800,,461.46,,,483.32,439.07,,559.87,437.57,443.68
2900,,373.39,,,,340.68,,489.72,337.85,
2950,,,,,,291.1,,,,
3000,546.83,291.4,813.16,1164.49,325.91,242.83,1014.58,425.23,239.58,254.6
3050,,,,,,195.92,,,189.56,
3100,,219.18,,,259.5,151.37,,366.84,141.58,170.27
3150,,,,,,110.15,,,95.6,
3200,,159.18,,,202.84,75.26,,314.42,56.28,102.35
3250,,,,,,48.27,,,27.24,
3300,,111.42,,,155.46,28.72,,267.28,11.04,54.06
3350,,,,,,16.62,,,4.92,
3400,,75.34,,,116.75,9.34,,226.38,2.51,25.99
3450,,,,,,5.05,,,0.89,
3500,318.05,49.76,,,86.53,3.12,,190.35,0.25,11.84
3550,,,,,,1.91,,,0.06,
3600,,32.66,,,63.5,0.95,,159.39,0.01,5.91
3650,,,,,,,,,0.0,
3700,,20.92,,,,0.26,,133.06,0.0,3.44
3800,,13.98,,,33.22,0.04,,110.84,0.0,2.51
3900,,9.37,,,,0.01,,92.26,0.0,1.12
4000,178.99,6.46,450.86,833.0,18.02,,671.89,76.54,,0.44
4100,,4.48,,,,,,63.76,,0.16
4200,,4.15,,,9.76,,,53.83,,0.06
4300,,2.55,,,,,,45.52,,
4400,,2.43,,,5.81,,,38.62,,0.02
4500,102.65,2.42,,,4.16,,,32.84,,0.02
4600,,1.64,,,,,,27.77,,0.02
4700,,1.06,,,,,,24.45,,
4800,,0.69,,,,,,20.5,,0.01
4900,,0.45,,,,,,,,
5000,63.28,0.37,256.95,620.01,1.59,,458.14,15.65,,0.0
5100,,0.35,,,,,,,,
5200,,0.35,,,,,,12.27,,
5500,41.21,0.25,,,0.92,,,9.05,,0.0
6000,29.42,0.25,156.0,472.06,,,324.99,5.73,,0.0
7000,17.16,0.05,103.85,366.23,,,240.55,2.98,,
8000,12.25,0.01,72.09,299.68,,,186.6,1.31,,
9000,8.06,0.0,52.83,,,,147.83,0.98,,
10000,6.4,0.0,41.04,197.84,,,121.02,0.87,,
11000,,0.0,,,,,,0.65,,
12000,4.28,,,,,,,0.44,,
15000,4.01,,16.24,,,,52.56,,,
20000,2.08,,8.76,54.95,,,30.51,,,
25000,0.81,,5.66,,,,19.33,,,
30000,0.69,,4.68,25.97,,,13.67,,,
35000,,,3.82,,,,9.69,,,
40000,0.3,,2.68,18.56,,,7.83,,,
50000,0.16,,,,,,4.85,,,
