,25MAR22,28JAN22,24JUN22,30DEC22,04FEB22,19JAN22,30SEP22,25FEB22,18JAN22,21JAN22
1000,2.36,,11.38,,,,,,,
1200,5.66,,,,,,,,,
1400,9.73,,,,,,,,,
1500,12.25,,47.46,,0.07,,99.5,2.96,,0.0
1600,15.53,,,,,,,,,
2000,39.26,0.63,128.4,275.47,2.36,,219.92,13.91,,0.01
2300,,,,,,,,30.96,,
2400,,,,,10.61,,,40.29,,0.77
2500,112.32,7.02,274.83,,14.67,,,51.73,,1.3
2600,,9.77,,,19.78,,,66.39,,2.14
2700,,14.27,,,,0.13,,84.66,0.0,
2800,,21.13,,,39.35,0.73,,107.86,0.01,4.06
2900,,31.56,,,,2.49,,135.98,0.18,
2950,,,,,,3.03,,,,
3000,268.55,47.61,484.94,713.99,78.68,4.02,624.37,169.67,1.61,12.58
3050,,,,,,6.45,,,2.36,
3100,,72.16,,,109.49,9.94,,208.81,3.05,25.45
3150,,,,,,16.63,,,6.08,
3200,,108.25,,,149.42,28.32,,253.79,12.38,51.81
3250,,,,,,47.29,,,27.56,
3300,,156.3,,,198.36,73.0,,303.19,54.38,98.93
3350,,,,,,107.71,,,93.21,
3400,,216.96,,,256.56,148.13,,359.43,138.69,165.55
3450,,,,,,192.42,,,187.33,
3500,526.86,288.45,,,324.04,239.05,,421.23,236.63,248.58
3550,,,,,,287.6,,,286.27,
3600,,369.23,,,398.75,336.78,,488.03,336.11,340.2
3650,,,,,,,,,386.01,
3700,,455.86,,,,435.54,,560.11,435.94,437.35
3800,,547.45,,,565.91,534.96,,636.05,535.79,535.31
3900,,641.97,,,,634.71,,716.03,635.64,633.96
4000,877.54,739.11,1085.53,1314.02,747.96,,1224.71,799.08,,732.92
4100,,836.31,,,,,,885.12,,832.67
4200,,935.39,,,938.97,,,973.88,,932.16
4300,,1033.58,,,,,,1063.99,,
4400,,1133.26,,,1133.4,,,1156.54,,1131.69
4500,1291.9,1232.8,,,1231.4,,,1249.73,,1231.69
4600,,1331.74,,,,,,1344.02,,1331.47
4700,,1431.24,,,,,,1439.32,,
4800,,1530.65,,,,,,1535.39,,1531.01
4900,,1630.05,,,,,,,,
5000,1744.84,1729.72,1858.58,2029.19,1727.0,,1958.18,1729.46,,1730.57
5100,,1829.69,,,,,,,,
5200,,1929.45,,,,,,1924.3,,
5500,2216.3,2228.61,,,2224.52,,,2218.71,,2229.21
6000,2697.17,2727.11,2727.23,2808.71,,,2772.84,2712.57,,2728.4
7000,3673.28,3724.79,3643.32,3630.38,,,3634.98,3704.1,,
8000,4654.72,4722.35,4581.55,4493.28,,,4530.31,4696.85,,
9000,5639.2,5719.95,5533.08,,,,5441.76,5690.73,,
10000,6625.26,6717.57,6492.98,6253.31,,,6363.85,6684.85,,
11000,,7715.18,,,,,,7678.85,,
12000,8598.92,,,,,,,8672.28,,
15000,11560.03,,11321.63,,,,11045.39,,,
20000,16498.65,,16168.09,15418.81,,,15773.2,,,
25000,21436.07,,21020.42,,,,20514.94,,,
30000,26374.69,,25872.72,24702.93,,,25258.79,,,
35000,,,30727.03,,,,30004.65,,,
40000,36251.79,,35579.71,34007.66,,,34753.35,,,
50000,46129.15,,,,,,44252.85,,,
# option_pricer
